"DATE","SNOW DP INCHES",""
"12/01/2021","--",""
"01/01/2022","--",""
"02/01/2022","48",""
"03/01/2022","40",""
"04/01/2022","8",""
"05/01/2022","1",""
"06/01/2022","--",""
"07/01/2022","--",""
"08/01/2022","--",""
"09/01/2022","--",""
"10/01/2022","--",""
"11/01/2022","--",""
"12/01/2022","52",""
"01/01/2023","52",""
"02/01/2023","82",""
"03/01/2023","111",""
"04/01/2023","116",""
"05/01/2023","46",""
"06/01/2023","--",""
"07/01/2023","--",""
"08/01/2023","--",""
"09/01/2023","--",""
