"DATE","SNOW DP INCHES",""
"12/01/2021","78",""
"01/01/2022","78",""
"02/01/2022","48",""
"03/01/2022","35",""
"04/01/2022","2",""
"05/01/2022","0",""
"06/01/2022","--",""
"07/01/2022","--",""
"08/01/2022","--",""
"09/01/2022","--",""
"10/01/2022","--",""
"11/01/2022","--",""
"12/01/2022","56",""
"01/01/2023","56",""
"02/01/2023","86",""
"03/01/2023","116",""
"04/01/2023","126",""
"05/01/2023","59",""
"06/01/2023","--",""
"07/01/2023","--",""
"08/01/2023","--",""
"09/01/2023","--",""
